id,width,height,url,photographer,photographer_url,photographer_id,avg_color,original,large2x,large,medium,small,portrait,landscape,tiny,liked,alt,orientation,area,color_group,include_word_cozy_or_peaceful
20394026,3024,4032,https://www.pexels.com/photo/view-of-chairs-and-tables-on-a-patio-with-palm-trees-in-the-background-20394026/,Keriitleto Paya,https://www.pexels.com/@keriitleto-paya-1015367076,1015367076,#A3A097,https://images.pexels.com/photos/20394026/pexels-photo-20394026.jpeg,https://images.pexels.com/photos/20394026/pexels-photo-20394026.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/20394026/pexels-photo-20394026.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/20394026/pexels-photo-20394026.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/20394026/pexels-photo-20394026.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/20394026/pexels-photo-20394026.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/20394026/pexels-photo-20394026.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/20394026/pexels-photo-20394026.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,"A stylish outdoor café with white chairs and tables, set in tropical Putrajaya, Malaysia, perfect for travel enthusiasts.",portrait,12192768,light,FALSE
9373623,3436,5153,https://www.pexels.com/photo/empty-beach-chair-by-a-tree-9373623/,Anca,https://www.pexels.com/@ancatakespics,2051606,#675B4F,https://images.pexels.com/photos/9373623/pexels-photo-9373623.jpeg,https://images.pexels.com/photos/9373623/pexels-photo-9373623.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/9373623/pexels-photo-9373623.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/9373623/pexels-photo-9373623.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/9373623/pexels-photo-9373623.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/9373623/pexels-photo-9373623.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/9373623/pexels-photo-9373623.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/9373623/pexels-photo-9373623.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,An empty orange beach chair on a serene pebbled shore under a tree by the calm sea.,portrait,17705708,medium,FALSE
33987659,3673,4898,https://www.pexels.com/photo/cozy-outdoor-hut-in-pine-forest-setting-33987659/,Nora G,https://www.pexels.com/@oceanofstars,1784023156,#53564D,https://images.pexels.com/photos/33987659/pexels-photo-33987659.jpeg,https://images.pexels.com/photos/33987659/pexels-photo-33987659.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/33987659/pexels-photo-33987659.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/33987659/pexels-photo-33987659.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/33987659/pexels-photo-33987659.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/33987659/pexels-photo-33987659.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/33987659/pexels-photo-33987659.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/33987659/pexels-photo-33987659.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,"Wooden hut with cushions in a lush pine forest, perfect for relaxation.",portrait,17990354,medium,FALSE
9394286,3648,5472,https://www.pexels.com/photo/wooden-dock-above-the-sea-water-9394286/,Asad Photo Maldives,https://www.pexels.com/@asadphoto,45786,#78B7BE,https://images.pexels.com/photos/9394286/pexels-photo-9394286.jpeg,https://images.pexels.com/photos/9394286/pexels-photo-9394286.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/9394286/pexels-photo-9394286.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/9394286/pexels-photo-9394286.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/9394286/pexels-photo-9394286.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/9394286/pexels-photo-9394286.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/9394286/pexels-photo-9394286.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/9394286/pexels-photo-9394286.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,"Serene ocean view with wicker chairs on a wooden dock, perfect for relaxation.",portrait,19961856,medium,FALSE
31467540,3024,4032,https://www.pexels.com/photo/scenic-outdoor-seating-area-with-tropical-views-31467540/,Thanzeena Husain,https://www.pexels.com/@thanzeena,694183,#6D6B5F,https://images.pexels.com/photos/31467540/pexels-photo-31467540.jpeg,https://images.pexels.com/photos/31467540/pexels-photo-31467540.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/31467540/pexels-photo-31467540.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/31467540/pexels-photo-31467540.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/31467540/pexels-photo-31467540.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/31467540/pexels-photo-31467540.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/31467540/pexels-photo-31467540.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/31467540/pexels-photo-31467540.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,"Tranquil outdoor seating with palm trees and distant mountain view, perfect for relaxation.",portrait,12192768,medium,FALSE
28856730,3000,4000,https://www.pexels.com/photo/serene-cafe-scene-with-outdoor-greenery-28856730/,Shivansh  Sharma,https://www.pexels.com/@sincegameon,3540048,#53513C,https://images.pexels.com/photos/28856730/pexels-photo-28856730.jpeg,https://images.pexels.com/photos/28856730/pexels-photo-28856730.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/28856730/pexels-photo-28856730.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/28856730/pexels-photo-28856730.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/28856730/pexels-photo-28856730.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/28856730/pexels-photo-28856730.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/28856730/pexels-photo-28856730.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/28856730/pexels-photo-28856730.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,A peaceful café setting with outdoor seating surrounded by lush greenery.,portrait,12000000,medium,TRUE
23331416,2268,4032,https://www.pexels.com/photo/palm-trees-on-a-tropical-beach-23331416/,Beyza KILIÇ,https://www.pexels.com/@beyza-kilic-1236137457,1236137457,#7F888D,https://images.pexels.com/photos/23331416/pexels-photo-23331416.jpeg,https://images.pexels.com/photos/23331416/pexels-photo-23331416.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/23331416/pexels-photo-23331416.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/23331416/pexels-photo-23331416.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/23331416/pexels-photo-23331416.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/23331416/pexels-photo-23331416.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/23331416/pexels-photo-23331416.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/23331416/pexels-photo-23331416.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,"Idyllic Singaporean beach with palm trees and blue skies, perfect for a tropical getaway.",portrait,9144576,medium,FALSE
36045663,3060,4080,https://www.pexels.com/photo/scenic-lakeside-wooden-pergola-on-sunny-day-36045663/,John Canto,https://www.pexels.com/@john-canto-2159430051,2159430051,#858782,https://images.pexels.com/photos/36045663/pexels-photo-36045663.jpeg,https://images.pexels.com/photos/36045663/pexels-photo-36045663.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/36045663/pexels-photo-36045663.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/36045663/pexels-photo-36045663.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/36045663/pexels-photo-36045663.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/36045663/pexels-photo-36045663.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/36045663/pexels-photo-36045663.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/36045663/pexels-photo-36045663.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,A wooden pergola casting shadows on a bench by a serene lake under a clear blue sky.,portrait,12484800,medium,FALSE
33360824,2586,3448,https://www.pexels.com/photo/serene-park-benches-amidst-greenery-33360824/,Ryszard Zaleski,https://www.pexels.com/@ryszard-zaleski-29105926,29105926,#475136,https://images.pexels.com/photos/33360824/pexels-photo-33360824.jpeg,https://images.pexels.com/photos/33360824/pexels-photo-33360824.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/33360824/pexels-photo-33360824.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/33360824/pexels-photo-33360824.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/33360824/pexels-photo-33360824.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/33360824/pexels-photo-33360824.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/33360824/pexels-photo-33360824.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/33360824/pexels-photo-33360824.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,A peaceful park scene with three empty benches surrounded by lush greenery.,portrait,8916528,medium,TRUE
8898986,3024,4032,https://www.pexels.com/photo/wooden-beach-chairs-with-white-cushion-8898986/,Nurdanur Koç,https://www.pexels.com/@nurdanur-koc-85160728,85160728,#576A66,https://images.pexels.com/photos/8898986/pexels-photo-8898986.jpeg,https://images.pexels.com/photos/8898986/pexels-photo-8898986.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/8898986/pexels-photo-8898986.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/8898986/pexels-photo-8898986.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/8898986/pexels-photo-8898986.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/8898986/pexels-photo-8898986.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/8898986/pexels-photo-8898986.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/8898986/pexels-photo-8898986.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,"Peaceful outdoor setting with wooden lounge chairs on a grassy lawn, perfect for summer relaxation.",portrait,12192768,medium,TRUE
30938556,1560,2768,https://www.pexels.com/photo/tranquil-jungle-retreat-in-mazunte-oaxaca-30938556/,Luis  Vargas,https://www.pexels.com/@luis-vargas-651930845,651930845,#565133,https://images.pexels.com/photos/30938556/pexels-photo-30938556.jpeg,https://images.pexels.com/photos/30938556/pexels-photo-30938556.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/30938556/pexels-photo-30938556.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/30938556/pexels-photo-30938556.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/30938556/pexels-photo-30938556.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/30938556/pexels-photo-30938556.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/30938556/pexels-photo-30938556.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/30938556/pexels-photo-30938556.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,"A serene jungle setting with rustic furniture in Mazunte, Oaxaca, Mexico.",portrait,4318080,medium,FALSE
18068357,7500,10000,https://www.pexels.com/photo/top-view-of-sun-loungers-standing-on-a-rocky-terrace-on-a-shore-18068357/,Engin Akyurt,https://www.pexels.com/@enginakyurt,631997,#766E61,https://images.pexels.com/photos/18068357/pexels-photo-18068357.jpeg,https://images.pexels.com/photos/18068357/pexels-photo-18068357.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/18068357/pexels-photo-18068357.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/18068357/pexels-photo-18068357.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/18068357/pexels-photo-18068357.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/18068357/pexels-photo-18068357.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/18068357/pexels-photo-18068357.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/18068357/pexels-photo-18068357.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,Aerial view of striped lounge chairs on a stone terrace by the ocean's edge.,portrait,75000000,medium,FALSE
33987646,3024,4032,https://www.pexels.com/photo/seaside-mediterranean-outdoor-retreat-with-rustic-furniture-33987646/,Nora G,https://www.pexels.com/@oceanofstars,1784023156,#7A776E,https://images.pexels.com/photos/33987646/pexels-photo-33987646.jpeg,https://images.pexels.com/photos/33987646/pexels-photo-33987646.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/33987646/pexels-photo-33987646.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/33987646/pexels-photo-33987646.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/33987646/pexels-photo-33987646.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/33987646/pexels-photo-33987646.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/33987646/pexels-photo-33987646.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/33987646/pexels-photo-33987646.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,"Cozy seating area under trees by the sea, perfect for relaxation in a Mediterranean setting.",portrait,12192768,medium,TRUE
26842026,2000,3000,https://www.pexels.com/photo/palm-trees-growing-in-summer-resort-26842026/,Pew Nguyen,https://www.pexels.com/@nguyendesigner,65907,#86816E,https://images.pexels.com/photos/26842026/pexels-photo-26842026.jpeg,https://images.pexels.com/photos/26842026/pexels-photo-26842026.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/26842026/pexels-photo-26842026.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/26842026/pexels-photo-26842026.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/26842026/pexels-photo-26842026.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/26842026/pexels-photo-26842026.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/26842026/pexels-photo-26842026.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/26842026/pexels-photo-26842026.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,Scenic view of tropical resort with wooden gazebo and palm trees.,portrait,6000000,medium,FALSE
28513306,3755,5633,https://www.pexels.com/photo/sunny-outdoor-cafe-seating-by-stone-wall-28513306/,Berna,https://www.pexels.com/@mibernaa,424970785,#9E948A,https://images.pexels.com/photos/28513306/pexels-photo-28513306.jpeg,https://images.pexels.com/photos/28513306/pexels-photo-28513306.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/28513306/pexels-photo-28513306.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/28513306/pexels-photo-28513306.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/28513306/pexels-photo-28513306.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/28513306/pexels-photo-28513306.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/28513306/pexels-photo-28513306.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/28513306/pexels-photo-28513306.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,Cozy outdoor cafe seating with rustic charm beside a tall stone wall under a clear sky.,portrait,21151915,medium,TRUE
32564790,2224,3955,https://www.pexels.com/photo/serene-lakeside-scene-with-benches-in-bursa-32564790/,Mihrî,https://www.pexels.com/@mihri-2150680379,2150680379,#5C6854,https://images.pexels.com/photos/32564790/pexels-photo-32564790.jpeg,https://images.pexels.com/photos/32564790/pexels-photo-32564790.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/32564790/pexels-photo-32564790.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/32564790/pexels-photo-32564790.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/32564790/pexels-photo-32564790.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/32564790/pexels-photo-32564790.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/32564790/pexels-photo-32564790.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/32564790/pexels-photo-32564790.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,"A tranquil lakeside view in Bursa, Türkiye, featuring two benches under a tree.",portrait,8795920,medium,FALSE
29159501,2592,4608,https://www.pexels.com/photo/serene-forest-picnic-area-in-sunlight-29159501/,Samidarefle,https://www.pexels.com/@samidarefle-187257480,187257480,#241C11,https://images.pexels.com/photos/29159501/pexels-photo-29159501.jpeg,https://images.pexels.com/photos/29159501/pexels-photo-29159501.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/29159501/pexels-photo-29159501.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/29159501/pexels-photo-29159501.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/29159501/pexels-photo-29159501.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/29159501/pexels-photo-29159501.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/29159501/pexels-photo-29159501.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/29159501/pexels-photo-29159501.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,"A tranquil forest scene with a picnic table bathed in soft sunlight, perfect for a peaceful retreat.",portrait,11943936,dark,TRUE
30739568,4000,6000,https://www.pexels.com/photo/serene-park-bench-by-tranquil-pond-30739568/,Nimit N,https://www.pexels.com/@nimitclix,17372498,#616453,https://images.pexels.com/photos/30739568/pexels-photo-30739568.jpeg,https://images.pexels.com/photos/30739568/pexels-photo-30739568.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/30739568/pexels-photo-30739568.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/30739568/pexels-photo-30739568.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/30739568/pexels-photo-30739568.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/30739568/pexels-photo-30739568.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/30739568/pexels-photo-30739568.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/30739568/pexels-photo-30739568.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,Empty stone bench overlooking a serene pond in a lush green park.,portrait,24000000,medium,FALSE
35368583,2146,3399,https://www.pexels.com/photo/charming-hillside-restaurant-with-lush-greenery-35368583/,Valeria Drozdova,https://www.pexels.com/@valeria-drozdova-2148646707,2148646707,#666E59,https://images.pexels.com/photos/35368583/pexels-photo-35368583.jpeg,https://images.pexels.com/photos/35368583/pexels-photo-35368583.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/35368583/pexels-photo-35368583.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/35368583/pexels-photo-35368583.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/35368583/pexels-photo-35368583.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/35368583/pexels-photo-35368583.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/35368583/pexels-photo-35368583.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/35368583/pexels-photo-35368583.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,A picturesque hillside restaurant surrounded by lush greenery under a bright blue sky.,portrait,7294254,medium,FALSE
24768558,4480,6720,https://www.pexels.com/photo/bench-and-lake-24768558/,HONG SON,https://www.pexels.com/@hson,2206713,#555C54,https://images.pexels.com/photos/24768558/pexels-photo-24768558.jpeg,https://images.pexels.com/photos/24768558/pexels-photo-24768558.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/24768558/pexels-photo-24768558.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/24768558/pexels-photo-24768558.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/24768558/pexels-photo-24768558.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/24768558/pexels-photo-24768558.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/24768558/pexels-photo-24768558.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/24768558/pexels-photo-24768558.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,Peaceful lake view with empty bench surrounded by lush greenery in a serene park.,portrait,30105600,medium,TRUE
